timestamp,machine_id,temperature,vibration,operating_status,fault_code,fault_message
2026-09-01 06:00:00,MACHINE-001,65.2,0.18,ON,0,None
2026-09-01 06:05:00,MACHINE-001,65.8,0.18,ON,0,None
2026-09-01 06:10:00,MACHINE-001,66.4,0.19,ON,0,None
2026-09-01 06:15:00,MACHINE-001,67.0,0.19,ON,0,None
2026-09-01 06:20:00,MACHINE-001,67.7,0.20,ON,0,None
2026-09-01 06:25:00,MACHINE-001,68.3,0.20,ON,0,None
2026-09-01 06:30:00,MACHINE-001,69.0,0.21,ON,0,None
2026-09-01 06:35:00,MACHINE-001,69.6,0.21,ON,0,None
2026-09-01 06:40:00,MACHINE-001,70.1,0.21,ON,0,None
2026-09-01 06:45:00,MACHINE-001,70.8,0.22,ON,0,None
2026-09-01 06:50:00,MACHINE-001,71.3,0.22,ON,0,None
2026-09-01 06:55:00,MACHINE-001,71.9,0.22,ON,0,None
2026-09-01 07:00:00,MACHINE-001,72.5,0.21,ON,0,None
2026-09-01 07:05:00,MACHINE-001,73.1,0.23,ON,0,None
2026-09-01 07:10:00,MACHINE-001,73.8,0.23,ON,0,None
2026-09-01 07:15:00,MACHINE-001,74.2,0.24,ON,0,None
2026-09-01 07:20:00,MACHINE-001,74.8,0.24,ON,0,None
2026-09-01 07:25:00,MACHINE-001,75.3,0.25,ON,0,None
2026-09-01 07:30:00,MACHINE-001,75.9,0.25,ON,0,None
2026-09-01 07:35:00,MACHINE-001,76.4,0.26,ON,0,None
2026-09-01 07:40:00,MACHINE-001,77.0,0.26,ON,0,None
2026-09-01 07:45:00,MACHINE-001,77.5,0.27,ON,0,None
2026-09-01 07:50:00,MACHINE-001,78.1,0.27,ON,0,None
2026-09-01 07:55:00,MACHINE-001,78.6,0.28,ON,0,None
2026-09-01 08:00:00,MACHINE-001,79.2,0.28,ON,0,None
2026-09-01 08:05:00,MACHINE-001,79.7,0.29,ON,0,None
2026-09-01 08:10:00,MACHINE-001,80.1,0.30,ON,0,None
2026-09-01 08:15:00,MACHINE-001,80.8,0.31,ON,0,None
2026-09-01 08:20:00,MACHINE-001,81.4,0.33,ON,0,None
2026-09-01 08:25:00,MACHINE-001,82.0,0.35,ON,0,None
2026-09-01 08:30:00,MACHINE-001,83.1,0.38,ON,0,None
2026-09-01 08:35:00,MACHINE-001,84.3,0.41,ON,0,None
2026-09-01 08:40:00,MACHINE-001,85.7,0.44,ON,0,None
2026-09-01 08:45:00,MACHINE-001,87.2,0.48,ON,0,None
2026-09-01 08:50:00,MACHINE-001,88.9,0.52,ON,0,None
2026-09-01 08:55:00,MACHINE-001,90.4,0.57,ON,0,None
2026-09-01 09:00:00,MACHINE-001,92.1,0.62,ON,0,None
2026-09-01 09:05:00,MACHINE-001,93.8,0.67,ON,0,None
2026-09-01 09:10:00,MACHINE-001,95.6,0.73,ON,0,None
2026-09-01 09:15:00,MACHINE-001,97.3,0.79,ON,101,OVERHEAT
2026-09-01 09:20:00,MACHINE-001,98.9,0.85,ON,101,OVERHEAT
2026-09-01 09:25:00,MACHINE-001,100.2,0.91,ON,101,OVERHEAT
2026-09-01 09:30:00,MACHINE-001,85.4,0.55,ON,0,None
2026-09-01 09:35:00,MACHINE-001,82.1,0.46,ON,0,None
2026-09-01 09:40:00,MACHINE-001,79.8,0.40,ON,0,None
2026-09-01 09:45:00,MACHINE-001,77.5,0.35,ON,0,None
2026-09-01 09:50:00,MACHINE-001,75.3,0.30,ON,0,None
2026-09-01 09:55:00,MACHINE-001,73.9,0.27,ON,0,None
2026-09-01 10:00:00,MACHINE-001,72.8,0.25,ON,0,None
2026-09-01 10:05:00,MACHINE-001,72.5,0.24,ON,0,None
2026-09-01 10:10:00,MACHINE-001,72.2,0.23,ON,0,None
2026-09-01 10:15:00,MACHINE-001,72.0,0.23,ON,0,None
2026-09-01 10:20:00,MACHINE-001,71.8,0.22,ON,0,None
